,FEDFUNDS
2006-03-31,0.23832020997375325
2006-04-30,0.24881889763779524
2006-05-31,0.2566929133858268
2006-06-30,0.25931758530183724
2006-07-31,0.27244094488188975
2006-08-31,0.27296587926509186
2006-09-30,0.27296587926509186
2006-10-31,0.27296587926509186
2006-11-30,0.27296587926509186
2006-12-31,0.27244094488188975
2007-01-31,0.27296587926509186
2007-02-28,0.2734908136482939
2007-03-31,0.2734908136482939
2007-04-30,0.27296587926509186
2007-05-31,0.27296587926509186
2007-06-30,0.27296587926509186
2007-07-31,0.2734908136482939
2007-08-31,0.2608923884514435
2007-09-30,0.2566929133858268
2007-10-31,0.24724409448818896
2007-11-30,0.23307086614173228
2007-12-31,0.21994750656167977
2008-01-31,0.2041994750656168
2008-02-29,0.15380577427821523
2008-03-31,0.13438320209973753
2008-04-30,0.11706036745406823
2008-05-31,0.10131233595800525
2008-06-30,0.10236220472440945
2008-07-31,0.10288713910761153
2008-08-31,0.10236220472440945
2008-09-30,0.09238845144356955
2008-10-31,0.048293963254593175
2008-11-30,0.01784776902887139
2008-12-31,0.005774278215223097
2009-01-31,0.005249343832020997
2009-02-28,0.008923884514435695
2009-03-31,0.0068241469816272965
2009-04-30,0.005249343832020997
2009-05-31,0.0068241469816272965
2009-06-30,0.008398950131233596
2009-07-31,0.005774278215223097
2009-08-31,0.005774278215223097
2009-09-30,0.005249343832020997
2009-10-31,0.003674540682414698
2009-11-30,0.003674540682414698
2009-12-31,0.003674540682414698
2010-01-31,0.0031496062992125984
2010-02-28,0.004199475065616798
2010-03-31,0.005774278215223097
2010-04-30,0.007874015748031496
2010-05-31,0.007874015748031496
2010-06-30,0.0068241469816272965
2010-07-31,0.0068241469816272965
2010-08-31,0.007349081364829396
2010-09-30,0.007349081364829396
2010-10-31,0.007349081364829396
2010-11-30,0.007349081364829396
2010-12-31,0.0068241469816272965
2011-01-31,0.006299212598425197
2011-02-28,0.005774278215223097
2011-03-31,0.0047244094488188984
2011-04-30,0.0026246719160104987
2011-05-31,0.002099737532808399
2011-06-30,0.002099737532808399
2011-07-31,0.0010498687664042
2011-08-31,0.0026246719160104987
2011-09-30,0.0015748031496062992
2011-10-31,0.0010498687664042
2011-11-30,0.0015748031496062992
2011-12-31,0.0010498687664042
2012-01-31,0.0015748031496062992
2012-02-29,0.0026246719160104987
2012-03-31,0.004199475065616798
2012-04-30,0.0047244094488188984
2012-05-31,0.005774278215223097
2012-06-30,0.005774278215223097
2012-07-31,0.005774278215223097
2012-08-31,0.004199475065616798
2012-09-30,0.0047244094488188984
2012-10-31,0.005774278215223097
2012-11-30,0.005774278215223097
2012-12-31,0.005774278215223097
2013-01-31,0.0047244094488188984
2013-02-28,0.005249343832020997
2013-03-31,0.0047244094488188984
2013-04-30,0.005249343832020997
2013-05-31,0.0031496062992125984
2013-06-30,0.002099737532808399
2013-07-31,0.002099737532808399
2013-08-31,0.0015748031496062992
2013-09-30,0.0015748031496062992
2013-10-31,0.002099737532808399
2013-11-30,0.0015748031496062992
2013-12-31,0.002099737532808399
2014-01-31,0.0010498687664042
2014-02-28,0.0010498687664042
2014-03-31,0.0015748031496062992
2014-04-30,0.002099737532808399
2014-05-31,0.002099737532808399
2014-06-30,0.0026246719160104987
2014-07-31,0.002099737532808399
2014-08-31,0.002099737532808399
2014-09-30,0.002099737532808399
2014-10-31,0.002099737532808399
2014-11-30,0.002099737532808399
2014-12-31,0.003674540682414698
2015-01-31,0.0031496062992125984
2015-02-28,0.0031496062992125984
2015-03-31,0.0031496062992125984
2015-04-30,0.003674540682414698
2015-05-31,0.003674540682414698
2015-06-30,0.004199475065616798
2015-07-31,0.004199475065616798
2015-08-31,0.0047244094488188984
2015-09-30,0.0047244094488188984
2015-10-31,0.003674540682414698
2015-11-30,0.003674540682414698
2015-12-31,0.009973753280839895
2016-01-31,0.015223097112860892
2016-02-29,0.01732283464566929
2016-03-31,0.01627296587926509
2016-04-30,0.01679790026246719
2016-05-31,0.01679790026246719
2016-06-30,0.01732283464566929
2016-07-31,0.01784776902887139
2016-08-31,0.01837270341207349
2016-09-30,0.01837270341207349
2016-10-31,0.01837270341207349
2016-11-30,0.01889763779527559
2016-12-31,0.02572178477690289
2017-01-31,0.031496062992125984
2017-02-28,0.032020997375328084
2017-03-31,0.03884514435695538
2017-04-30,0.04461942257217848
2017-05-31,0.04514435695538058
2017-06-30,0.05196850393700787
2017-07-31,0.05774278215223096
2017-08-31,0.05826771653543306
2017-09-30,0.05774278215223096
2017-10-31,0.05774278215223096
2017-11-30,0.05826771653543306
2017-12-31,0.06561679790026247
2018-01-31,0.07139107611548556
2018-02-28,0.07191601049868766
2018-03-31,0.07664041994750656
2018-04-30,0.08608923884514436
2018-05-31,0.08661417322834646
2018-06-30,0.09291338582677165
2018-07-31,0.09763779527559055
2018-08-31,0.09763779527559055
2018-09-30,0.09973753280839895
2018-10-31,0.11233595800524934
2018-11-30,0.11286089238845146
2018-12-31,0.11653543307086614
2019-01-31,0.12335958005249344
2019-02-28,0.12335958005249344
2019-03-31,0.12388451443569555
2019-04-30,0.12440944881889764
2019-05-31,0.12283464566929135
2019-06-30,0.12230971128608924
2019-07-31,0.12335958005249344
2019-08-31,0.10918635170603674
2019-09-30,0.10446194225721785
2019-10-31,0.09343832020997375
2019-11-30,0.07874015748031496
2019-12-31,0.07874015748031496
2020-01-31,0.07874015748031496
2020-02-29,0.08031496062992126
2020-03-31,0.031496062992125984
2020-04-30,0.0
2020-05-31,0.0
2020-06-30,0.0015748031496062992
2020-07-31,0.002099737532808399
2020-08-31,0.0026246719160104987
2020-09-30,0.002099737532808399
2020-10-31,0.002099737532808399
2020-11-30,0.002099737532808399
2020-12-31,0.002099737532808399
2021-01-31,0.002099737532808399
2021-02-28,0.0015748031496062992
2021-03-31,0.0010498687664042
2021-04-30,0.0010498687664042
2021-05-31,0.0005249343832020997
2021-06-30,0.0015748031496062992
2021-07-31,0.0026246719160104987
2021-08-31,0.002099737532808399
2021-09-30,0.0015748031496062992
2021-10-31,0.0015748031496062992
2021-11-30,0.0015748031496062992
2021-12-31,0.0015748031496062992
2022-01-31,0.0015748031496062992
2022-02-28,0.0015748031496062992
2022-03-31,0.007874015748031496
2022-04-30,0.014698162729658792
2022-05-31,0.03779527559055118
2022-06-30,0.06089238845144357
2022-07-31,0.08556430446194226
2022-08-31,0.11968503937007874
2022-09-30,0.13175853018372702
2022-10-31,0.1590551181102362
2022-11-30,0.1958005249343832
2022-12-31,0.21259842519685035
2023-01-31,0.22467191601049868
2023-02-28,0.23727034120734908
2023-03-31,0.24146981627296588
2023-04-30,0.25091863517060364
2023-05-31,0.2629921259842519
2023-06-30,0.26404199475065615
2023-07-31,0.26614173228346455
2023-08-31,0.27716535433070866
2023-09-30,0.27716535433070866
2023-10-31,0.27716535433070866
2023-11-30,0.27716535433070866
2023-12-31,0.27716535433070866
2024-01-31,0.27716535433070866
2024-02-29,0.27716535433070866
2024-03-31,0.27716535433070866
2024-04-30,0.27716535433070866
2024-05-31,0.27716535433070866
2024-06-30,0.27716535433070866
2024-07-31,0.27716535433070866
